name,município,data_avist,estado,latitude,longitude,data_revis,status
Praia da Boca da Barra,Tamandaré,2019-11-01,PE,-8.77772,-35.10634,2019-11-02,Oleada - Vestígios/Esparsos
Praia da Lama,Cajueiro da Praia,2019-09-28,PI,-2.93955555555556,-41.3236611111111,2019-10-24,Óleo - Não Observado
Praia do Pontal,Ilha Grande,2019-10-29,PI,-2.77223611111111,-41.7770083333333,2019-10-31,Oleada - Vestígios/Esparsos
Atalaia,Luís Correia,2019-09-30,PI,-2.88017222222222,-41.6387833333333,2019-10-30,Óleo - Não Observado
Luís Correia,Luís Correia,2019-09-30,PI,-2.89960833333333,-41.6082638888889,2019-09-30,Oleada - Vestígios/Esparsos
Praia do Arrombado,Luís Correia,2019-09-27,PI,-2.91222222222222,-41.5244444444444,2019-09-27,Óleo - Não Observado
Praia do Coqueiro,Luís Correia,2019-09-30,PI,-2.90361111111111,-41.5722222222222,NA,Óleo - Não Observado
Praia Peito de Moça,Luís Correia,2019-09-30,PI,-2.90311111111111,-41.5994444444444,NA,Óleo - Não Observado
Pedra do Sal,Parnaíba,2019-09-30,PI,-2.80695833333333,-41.726375,2019-10-27,Óleo - Não Observado
Praia de Malembá,Senador Georgino Avelino,2019-11-01,RN,-6.17834,-35.09473,2019-11-02,Óleo - Não Observado
Baía Formosa,Baía Formosa,2019-09-07,RN,-6.36900277777778,-35.0012527777778,2019-10-25,Oleada - Vestígios/Esparsos
Praia do Pontal,Baía Formosa,2019-10-27,RN,-6.32313888888889,-35.0331,NA,Oleada - Vestígios/Esparsos
Sagi,Baía Formosa,2019-09-07,RN,-6.46425833333333,-34.97295,2019-11-03,Oleada - Vestígios/Esparsos
Barra do Cunhaú,Canguaretama,2019-09-10,RN,-6.30210833333333,-35.032375,2019-11-01,Óleo - Não Observado
Foz do Rio Catu,Canguaretama,2019-09-12,RN,-6.28681944444444,-35.0349861111111,2019-10-25,Oleada - Vestígios/Esparsos
Jacumã,Ceará-Mirim,2019-09-11,RN,-5.58613888888889,-35.2273888888889,2019-10-28,Oleada - Vestígios/Esparsos
Muriú,Ceará-Mirim,2019-09-12,RN,-5.52316666666667,-35.2515166666667,2019-11-03,Óleo - Não Observado
Praia de Porto Mirim,Ceará-Mirim,2019-10-27,RN,-5.56819722222222,-35.2377472222222,2019-10-28,Oleada - Vestígios/Esparsos
Barra do Rio,Extremoz,2019-09-20,RN,-5.67918333333333,-35.2145666666667,2019-10-28,Óleo - Não Observado
Jenipabu,Extremoz,2019-09-20,RN,-5.692325,-35.2059305555556,2019-11-03,Óleo - Não Observado
Praia de Graçandu,Extremoz,2019-10-28,RN,-5.64813611111111,-35.2179527777778,NA,Oleada - Vestígios/Esparsos
Praia de Pitangui,Extremoz,2019-10-22,RN,-5.62253888888889,-35.2255805555556,2019-11-03,Óleo - Não Observado
Praia de Rendinha Nova,Extremoz,2019-10-23,RN,-5.71871944444444,-35.2005888888889,2019-10-28,Oleada - Vestígios/Esparsos
Praia de Santa Rita,Extremoz,2019-09-20,RN,-5.70210277777778,-35.1935722222222,2019-11-03,Óleo - Não Observado
Cabo de São Roque,Maxaranguape,2019-09-14,RN,-5.48488888888889,-35.2598916666667,2019-10-27,Oleada - Vestígios/Esparsos
Maracajaú,Maxaranguape,2019-09-17,RN,-5.42686666666667,-35.2926416666667,2019-10-02,Oleada - Vestígios/Esparsos
Maracajaú,Maxaranguape,2019-09-10,RN,-5.41065,-35.3096666666667,2019-10-29,Óleo - Não Observado
Praia de Barra de Maxaranguape,Maxaranguape,2019-10-21,RN,-5.51791944444444,-35.2537138888889,2019-11-03,Óleo - Não Observado
Praia de Caraúbas,Maxaranguape,2019-09-15,RN,-5.45771944444444,-35.289830555555596,2019-10-27,Óleo - Não Observado
Ponta Negra,Natal,2019-09-14,RN,-5.87840833333333,-35.1734,2019-11-03,Óleo - Não Observado
Praia de Alagamar,Natal,2019-09-24,RN,-5.89065,-35.153975,2019-09-24,Oleada - Vestígios/Esparsos
Praia de Areia Preta,Natal,2019-09-17,RN,-5.789575,-35.1879138888889,2019-11-03,Óleo - Não Observado
Praia do Forte,Natal,2019-09-17,RN,-5.76275833333333,-35.1955555555556,2019-11-03,Óleo - Não Observado
Redinha,Natal,2019-09-20,RN,-5.75121111111111,-35.2023777777778,2019-11-03,Óleo - Não Observado
Via Costeira,Natal,2019-09-07,RN,-5.8083,-35.1809722222222,2019-11-03,Óleo - Não Observado
Barra de Tabatinga,Nísia Floresta,2019-09-10,RN,-6.05708055555556,-35.0967888888889,2019-11-02,Óleo - Não Observado
Barreta,Nísia Floresta,2019-09-10,RN,-6.12378333333333,-35.0996,2019-11-03,Oleada - Vestígios/Esparsos
Camurupim,Nísia Floresta,2019-09-10,RN,-6.07763611111111,-35.0998722222222,2019-11-03,Oleada - Vestígios/Esparsos
Foz do Rio Pirangi/Pium,Nísia Floresta,2019-09-11,RN,-5.98262777777778,-35.1213833333333,2019-10-24,Óleo - Não Observado
Pirambúzios,Nísia Floresta,2019-09-10,RN,-5.99107777777778,-35.1130944444444,2019-11-01,Óleo - Não Observado
Pirangi do Sul,Nísia Floresta,2019-09-11,RN,-5.98454444444444,-35.1188888888889,2019-11-01,Oleada - Vestígios/Esparsos
Ponta da Ilha Verde,Nísia Floresta,2019-09-12,RN,-6.00706388888889,-35.10685,2019-10-26,Oleada - Vestígios/Esparsos
