geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,latitude,longitude
2906907,Ilha Redonda (abrolhos),2906907_7,Caravelas,Bahia,BA,2019-11-04,2019-11-19,Oleada - Vestigios / Esparsos,-17.9679911111111,-38.7111916666667
2302206,Barra de Sucatinga,2302206_3,Beberibe,Ceará,CE,2019-09-08,2019-11-22,Oleo Nao Observado,-4.25275805555556,-38.0043027777778
2927408,Praia de Ipitanga,2927408_13,Salvador,Bahia,BA,2019-10-21,2019-11-15,Oleo Nao Observado,-12.916765,-38.3091361111111
2906907,Praia da Ponta da Baleia,2906907_8,Caravelas,Bahia,BA,2019-11-01,2019-11-19,Oleada - Manchas,-17.705125,-39.1509327777778
2927408,Amaralina,2927408_14,Salvador,Bahia,BA,2019-10-17,2019-11-21,Oleo Nao Observado,-13.0149,-38.4711944444444
2302206,Morro Branco,2302206_1,Beberibe,Ceará,CE,2019-09-07,2019-11-22,Oleo Nao Observado,-4.15488055555556,-38.1062583333333
3200607,Praia Formosa,3200607_50,Aracruz,Espírito Santo,ES,2019-11-11,2019-11-11,Oleada - Vestigios / Esparsos,-20.0045027777778,-40.1483027777778
2302206,Barra do Rio Pirangi,2302206_2,Beberibe,Ceará,CE,2019-11-04,2019-11-22,Oleo Nao Observado,-4.37634444444444,-37.8564277777778
2927408,Praia de Stella Maris,2927408_12,Salvador,Bahia,BA,2019-11-01,2019-11-19,Oleo Nao Observado,-12.9365888888889,-38.3264416666667
2927408,Praia Jardim dos Namorados,2927408_17,Salvador,Bahia,BA,2019-10-16,2019-11-19,Oleo Nao Observado,-13.0046611111111,-38.4522197222222
2927408,Jardim de Alah,2927408_18,Salvador,Bahia,BA,2019-10-16,2019-11-21,Oleo Nao Observado,-13.0001963888889,-38.4470777777778
2927408,Ondina,2927408_15,Salvador,Bahia,BA,2019-10-19,2019-11-20,Oleo Nao Observado,-13.0112555555556,-38.5129916666667
2927408,Pedra do Sal,2927408_16,Salvador,Bahia,BA,2019-10-16,2019-11-21,Oleo Nao Observado,-12.9531138888889,-38.346675
2925303,Praia de Caraíva,2925303_32,Porto Seguro,Bahia,BA,2019-11-18,2019-11-18,Oleada - Manchas,-16.7715694444444,-39.141325
2913606,Aritagua,2913606_52,Ilhéus,Bahia,BA,2019-11-15,2019-11-15,Oleada - Vestigios / Esparsos,-14.6939722222222,-39.0654666666667
2610707,Maria Farinha,2610707_1,Paulista,Pernambuco,PE,2019-09-02,2019-11-20,Oleo Nao Observado,-7.85920277777778,-34.8345661111111
2610707,Conceição,2610707_2,Paulista,Pernambuco,PE,2019-09-02,2019-10-30,Oleada - Vestigios / Esparsos,-7.87654722222222,-34.8308611111111
2925303,Praia do Mutá,2925303_33,Porto Seguro,Bahia,BA,2019-11-18,2019-11-18,Oleada - Vestigios / Esparsos,-16.7808666666667,-39.1422527777778
2913606,Praia do Marciano,2913606_56,Ilhéus,Bahia,BA,2019-11-07,2019-11-18,Oleada - Vestigios / Esparsos,-14.7801055555556,-39.0472194444444
2610707,Nossa Senhora do Ó,2610707_5,Paulista,Pernambuco,PE,2019-10-27,NA,Oleada - Vestigios / Esparsos,-7.891475,-34.8234916666667
2610707,Praia do Janga,2610707_3,Paulista,Pernambuco,PE,2019-09-02,2019-11-20,Oleo Nao Observado,-7.92815555555556,-34.8206444444444
2913606,Praia de São Miguel,2913606_55,Ilhéus,Bahia,BA,2019-11-13,2019-11-18,Oleada - Vestigios / Esparsos,-14.7758333333333,-39.0539611111111
2610707,Pau Amarelo,2610707_4,Paulista,Pernambuco,PE,2019-09-02,2019-11-20,Oleo Nao Observado,-7.93704722222222,-34.8229972222222
2913606,Praia do Me Ache,2913606_58,Ilhéus,Bahia,BA,2019-11-13,2019-11-13,Oleada - Vestigios / Esparsos,-14.8129277777778,-39.0247583333333
2925501,Praia de Cumuruxatiba,2925501_42,Prado,Bahia,BA,2019-11-08,2019-11-18,Oleada - Vestigios / Esparsos,-17.0619333333333,-39.1682613888889
2925501,Praia de Cumuruxatiba,2925501_40,Prado,Bahia,BA,2019-11-10,2019-11-18,Oleada - Vestigios / Esparsos,-17.0304277777778,-39.1724638888889
2925501,Praia do Rio e praia do centro,2925501_47,Prado,Bahia,BA,2019-11-19,2019-11-19,Oleada - Vestigios / Esparsos,-17.109975,-39.18125
2804805,Praia Atalaia Nova,2804805_1,Nossa Senhora do Socorro,Sergipe,SE,2019-11-21,2019-11-21,Oleada - Vestigios / Esparsos,-10.8615,-37.0501430555556
2925501,Praia do Rio do Peixe,2925501_44,Prado,Bahia,BA,2019-11-15,2019-11-15,Oleada - Vestigios / Esparsos,-17.0734527777778,-39.1776305555556
2300754,Praia de Icarai de Amontada,2300754_13,Amontada,Ceará,CE,2019-11-10,2019-11-10,Oleada - Vestigios / Esparsos,-3.02157222222222,-39.6442555555556
2925501,Praia de Cumuruxatiba,2925501_45,Prado,Bahia,BA,2019-11-14,2019-11-18,Oleada - Vestigios / Esparsos,-17.0913555555556,-39.1789694444444
2925303,Praia dos Coqueiros,2925303_60,Porto Seguro,Bahia,BA,2019-11-15,2019-11-19,Oleada - Vestigios / Esparsos,-16.5744416666667,-39.0854730555556
2509305,Barra do rio Camaratuba,2509305_1,Mataraca,Paraíba,PB,2019-09-07,2019-11-09,Oleo Nao Observado,-6.594975,-34.9659916666667
2913606,Praia de Mamoã,2913606_41,Ilhéus,Bahia,BA,2019-11-19,2019-11-22,Oleada - Vestigios / Esparsos,-14.5773027777778,-39.0497361111111
2503209,Praia Formosa,2503209_17,Cabedelo,Paraíba,PB,2019-09-01,2019-11-17,Oleo Nao Observado,-6.96818444444444,-34.8298083333333
2913606,Praia de Barramares,2913606_45,Ilhéus,Bahia,BA,2019-11-09,2019-11-19,Oleada - Vestigios / Esparsos,-14.6214277777778,-39.0615333333333
2913606,Praia Jóia do Atlântico,2913606_46,Ilhéus,Bahia,BA,2019-10-31,NA,Oleada - Vestigios / Esparsos,-14.6309694444444,-39.0629638888889
2913606,Praia de Ponta da Tulha,2913606_43,Ilhéus,Bahia,BA,2019-11-15,2019-11-21,Oleada - Vestigios / Esparsos,-14.6036111111111,-39.0559861111111
2905701,Barra de Jacuípe,2905701_20,Camaçari,Bahia,BA,2019-11-14,2019-11-14,Oleada - Vestigios / Esparsos,-12.6978333333333,-38.1136
2913606,Aritaguá,2913606_49,Ilhéus,Bahia,BA,2019-11-13,2019-11-22,Oleada - Vestigios / Esparsos,-14.6666166666667,-39.0650916666667
2802106,Praia do Saco,2802106_21,Estância,Sergipe,SE,2019-11-07,2019-11-22,Oleada - Vestigios / Esparsos,-11.4351272222222,-37.3593194444444
2925501,Praia de Corumbau,2925501_32,Prado,Bahia,BA,2019-11-12,2019-11-18,Oleada - Manchas,-16.9801,-39.1555555555556
2925501,Praia do Bugigão em Caraíva,2925501_30,Prado,Bahia,BA,2019-11-15,2019-11-16,Oleada - Vestigios / Esparsos,-16.892275,-39.1174219444444
2800704,Praia do Cabeço,2800704_3,Brejo Grande,Sergipe,SE,2019-11-15,2019-11-15,Oleada - Vestigios / Esparsos,-10.5132472222222,-36.4135194444444
2207702,Praia do Pontal,2207702_4,Parnaíba,Piauí,PI,2019-11-08,2019-11-17,Oleada - Vestigios / Esparsos,-2.76293888888889,-41.781675
2800704,Foz do Rio São Francisco,2800704_1,Brejo Grande,Sergipe,SE,2019-10-09,2019-11-10,Oleo Nao Observado,-10.4921472222222,-36.411275
2925303,Taperapuã,2925303_53,Porto Seguro,Bahia,BA,2019-11-21,2019-11-21,Oleada - Vestigios / Esparsos,-16.3889444444444,-39.0352955555556
2925303,Paraíso dos Pataxós,2925303_54,Porto Seguro,Bahia,BA,2019-11-21,2019-11-21,Oleada - Vestigios / Esparsos,-16.3965583333333,-39.0404277777778
2800704,Praia do Cabeço,2800704_7,Brejo Grande,Sergipe,SE,2019-11-15,2019-11-15,Oleada - Vestigios / Esparsos,-10.5150527777778,-36.4226861111111
2925303,Paraíso dos Pataxós,2925303_51,Porto Seguro,Bahia,BA,2019-11-21,2019-11-21,Oleada - Vestigios / Esparsos,-16.3785166666667,-39.0209027777778
2800704,Ilha da Costinha,2800704_8,Brejo Grande,Sergipe,SE,2019-11-05,2019-11-05,Oleada - Vestigios / Esparsos,-10.5191730555556,-36.440275
3203205,Praia do Degredo,3203205_23,Linhares,Espírito Santo,ES,2019-11-17,2019-11-19,Oleada - Vestigios / Esparsos,-19.3724972222222,-39.6980861111111
3203205,Praia de Monsarás,3203205_29,Linhares,Espírito Santo,ES,2019-11-19,2019-11-19,Oleada - Vestigios / Esparsos,-19.5101861111111,-39.7497
3203205,Praia Cacimbas,3203205_27,Linhares,Espírito Santo,ES,2019-11-18,2019-11-19,Oleada - Vestigios / Esparsos,-19.4939666666667,-39.7421055555556
2800308,Praia de Aruanã,2800308_3,Aracaju,Sergipe,SE,2019-10-15,2019-11-20,Oleada - Vestigios / Esparsos,-11.1071861111111,-37.1287777777778
2803203,Mangue,2803203_1,Itaporanga D'ajuda,Sergipe,SE,2019-10-12,2019-11-21,Oleada - Vestigios / Esparsos,-11.1143166666667,-37.1683605555556
2800308,Tecarmo,2800308_4,Aracaju,Sergipe,SE,2019-11-03,2019-11-13,Oleada - Vestigios / Esparsos,-11.016175,-37.0679486111111
2800308,Praia Atalaia Nova,2800308_1,Aracaju,Sergipe,SE,2019-10-21,2019-11-12,Oleo Nao Observado,-10.923400000000001,-37.0448305555556
2800308,Praia de Coroa do Meio,2800308_2,Aracaju,Sergipe,SE,2019-10-16,2019-11-21,Oleada - Vestigios / Esparsos,-10.9666194444444,-37.0310111111111
2803203,Coqueirinho,2803203_4,Itaporanga D'ajuda,Sergipe,SE,2019-10-30,2019-11-20,Oleada - Vestigios / Esparsos,-11.1798444444444,-37.1661472222222
2609600,Praia de Dell Chifre,2609600_1,Olinda,Pernambuco,PE,2019-09-02,2019-10-27,Oleo Nao Observado,-8.02762777777778,-34.8579583333333
2925501,Praia da Paixão,2925501_61,Prado,Bahia,BA,2019-11-08,2019-11-12,Oleo Nao Observado,-17.2538027777778,-39.2173797222222
2800308,Viral,2800308_7,Aracaju,Sergipe,SE,2019-10-20,2019-11-16,Oleada - Vestigios / Esparsos,-11.1351180555556,-37.1559027777778
2803203,Coqueirinho,2803203_5,Itaporanga D'ajuda,Sergipe,SE,2019-11-22,2019-11-22,Oleada - Vestigios / Esparsos,-11.170975,-37.1699416666667
2800308,Praia dos Náufragos,2800308_8,Aracaju,Sergipe,SE,2019-10-29,2019-11-19,Oleo Nao Observado,-11.1333825,-37.1422027777778
2803203,Praia Caueira,2803203_2,Itaporanga D'ajuda,Sergipe,SE,2019-11-04,2019-11-20,Oleada - Vestigios / Esparsos,-11.2077472222222,-37.1925861111111
2803203,Caueira,2803203_3,Itaporanga D'ajuda,Sergipe,SE,2019-10-03,2019-11-19,Oleada - Vestigios / Esparsos,-11.220125,-37.2044611111111
2800308,Mosqueiro,2800308_5,Aracaju,Sergipe,SE,2019-10-16,2019-11-21,Oleo Nao Observado,-11.0464777777778,-37.0886805555556
2607208,Praia do Cupe,2607208_9,Ipojuca,Pernambuco,PE,2019-10-29,2019-11-19,Oleo Nao Observado,-8.45137527777778,-34.9842225
2800308,Praia dos Artistas,2800308_6,Aracaju,Sergipe,SE,2019-10-29,2019-11-20,Oleada - Vestigios / Esparsos,-10.97415,-37.0309166666667
