geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,hora,cou,latitude,longitude
3203205,Praia do Degredo,3203205_19,Linhares,Espírito Santo,ES,2019-11-18,2019-11-19,Oleada - Vestigios / Esparsos,NA,1,-19.300337777777777,-39.68938333333333
2707404,Rio Manguaba,2707404_12,Porto de Pedras,Alagoas,AL,2019-11-07,2019-12-04,Oleada - Vestigios / Esparsos,NA,1,-9.14866111111111,-35.293077777777775
3203205,Praia do Pontal do Ipiranga,3203205_10,Linhares,Espírito Santo,ES,2019-11-15,2019-11-19,Oleada - Vestigios / Esparsos,NA,1,-19.217393055555554,-39.70277777777778
2610707,Praia de Junga,2610707_12,Paulista,Pernambuco,PE,2019-11-23,2019-11-23,Oleada - Vestigios / Esparsos,NA,1,-7.953255555555556,-34.827525
3203205,Praia do Degredo,3203205_51,Linhares,Espírito Santo,ES,2019-11-23,2019-11-27,Oleo Nao Observado,NA,1,-19.379894444444446,-39.69985833333333
2707404,Costa dos Corais,2707404_10,Porto de Pedras,Alagoas,AL,2019-12-03,2019-12-14,Oleo Nao Observado,08:27:44,1,-9.217224166666666,-35.328408333333336
2906303,Praia do Poxim,2906303_16,Canavieiras,Bahia,BA,2019-11-09,2019-11-18,Oleada - Vestigios / Esparsos,NA,1,-15.473563888888888,-38.95305555555556
2906303,Praia do Poxim,2906303_18,Canavieiras,Bahia,BA,2019-12-03,2019-12-11,Oleada - Vestigios / Esparsos,NA,1,-15.490747222222222,-38.94859444444444
2704500,Praia do Salgado,2704500_22,Maragogi,Alagoas,AL,2019-11-16,2019-11-29,Oleo Nao Observado,NA,1,-9.069794444444444,-35.2404
2704500,Barra Grande (sul),2704500_23,Maragogi,Alagoas,AL,2019-10-17,2019-11-05,Oleo Nao Observado,NA,1,-8.992694444444444,-35.2002475
2704500,Barr Grande (sul),2704500_24,Maragogi,Alagoas,AL,2019-12-13,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-8.987941666666666,-35.19329722222222
2906303,Praia do Poxim,2906303_14,Canavieiras,Bahia,BA,2019-12-02,2019-12-04,Oleada - Vestigios / Esparsos,NA,1,-15.457522222222222,-38.954575000000006
2906303,Praia do Poxim,2906303_15,Canavieiras,Bahia,BA,2019-12-05,2019-12-05,Oleada - Vestigios / Esparsos,NA,1,-15.466338888888888,-38.9547
2614857,Praia da Boca da Barra,2614857_10,Tamandaré,Pernambuco,PE,2019-11-15,2019-11-15,Oleada - Vestigios / Esparsos,NA,1,-8.75355,-35.09178055555556
2302057,Praia de Bitupitá,2302057_6,Barroquinha,Ceará,CE,2019-10-21,2019-12-11,Oleo Nao Observado,NA,1,-2.885441111111111,-41.26799722222222
2614857,Praia de Mamucaba,2614857_11,Tamandaré,Pernambuco,PE,2019-11-18,2019-11-18,Oleada - Vestigios / Esparsos,NA,1,-8.760144444444444,-35.097575
2800605,Praia da Costa,2800605_5,Barra dos Coqueiros,Sergipe,SE,2019-09-02,2019-12-08,Oleo Nao Observado,NA,1,-10.92443611111111,-37.01058888888889
2800605,Praia de Jatobá,2800605_6,Barra dos Coqueiros,Sergipe,SE,2019-11-09,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-10.750238333333334,-36.86051944444445
2906303,Praia do Poxim,2906303_11,Canavieiras,Bahia,BA,2019-12-06,2019-12-06,Oleada - Vestigios / Esparsos,NA,1,-15.431430555555554,-38.96280277777778
2800605,Praia Pontal da Barra,2800605_7,Barra dos Coqueiros,Sergipe,SE,2019-11-09,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-10.756855555555555,-36.86736888888889
2800605,Praia do Porto,2800605_1,Barra dos Coqueiros,Sergipe,SE,2019-11-03,2019-11-11,Oleada - Manchas,NA,1,-10.867295277777778,-36.96633888888889
2800605,Praia de Jatobá,2800605_2,Barra dos Coqueiros,Sergipe,SE,2019-09-24,2019-11-29,Oleada - Vestigios / Esparsos,NA,1,-10.803877777777778,-36.91136111111111
2800605,Praia da Costa,2800605_3,Barra dos Coqueiros,Sergipe,SE,2019-11-03,2019-12-12,Oleada - Vestigios / Esparsos,NA,1,-10.903447222222223,-36.994258333333335
2800605,Praia do Porto,2800605_4,Barra dos Coqueiros,Sergipe,SE,2019-09-02,2019-11-11,Oleada - Manchas,NA,1,-10.844244444444445,-36.94798055555555
3203205,Praia do Pontal do Ipiranga,3203205_46,Linhares,Espírito Santo,ES,2019-11-24,2019-11-24,Oleada - Vestigios / Esparsos,NA,1,-19.153938888888888,-39.71243611111112
2300754,Moitas,2300754_3,Amontada,Ceará,CE,2019-12-11,2019-12-11,Oleo Nao Observado,NA,1,-2.998572222222222,-39.695763888888884
3203205,Praia do Degredo,3203205_48,Linhares,Espírito Santo,ES,2019-11-11,2019-11-19,Oleada - Vestigios / Esparsos,NA,1,-19.344183333333334,-39.69354444444444
3203205,Praia de Barra Seca,3203205_43,Linhares,Espírito Santo,ES,2019-11-10,2019-12-14,Oleada - Vestigios / Esparsos,09:05:14,1,-19.09951111111111,-39.72006944444445
2401859,Caiçara do Norte,2401859_5,Caiçara do Norte,Rio Grande do Norte,RN,2019-12-11,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-5.064297222222222,-36.05446666666666
3203205,Praia de Regência,3203205_40,Linhares,Espírito Santo,ES,2019-11-22,2019-11-22,Oleada - Vestigios / Esparsos,NA,1,-19.636491666666664,-39.807424999999995
3205200,Praia da Costa,3205200_13,Vila Velha,Espírito Santo,ES,2019-11-23,2019-12-09,Oleo Nao Observado,NA,1,-20.345588888888887,-40.284034444444444
2913606,Praia do Me Ache,2913606_58,Ilhéus,Bahia,BA,2019-11-13,2019-11-24,Oleada - Vestigios / Esparsos,NA,1,-14.812927777777778,-39.02475833333333
2913606,Jardim Atlântico,2913606_59,Ilhéus,Bahia,BA,2019-11-24,2019-11-24,Oleada - Vestigios / Esparsos,NA,1,-14.822125,-39.024852777777774
2304400,Praia de Sabiaguaba,2304400_26,Fortaleza,Ceará,CE,2019-11-09,2019-11-19,Oleo Nao Observado,NA,1,-3.7708472222222222,-38.43397333333333
2304400,Praia de Sabiaguaba,2304400_27,Fortaleza,Ceará,CE,2019-11-15,2019-12-10,Oleo Nao Observado,NA,1,-3.778536111111111,-38.428713888888886
2913606,Praia de São Miguel,2913606_55,Ilhéus,Bahia,BA,2019-11-13,2019-12-05,Oleo Nao Observado,NA,1,-14.775833333333335,-39.05396111111111
2913606,Praia do Marciano,2913606_56,Ilhéus,Bahia,BA,2019-11-07,2019-12-14,Oleo Nao Observado,08:52:09,1,-14.780105555555556,-39.047219444444444
3205200,Praia da Costa,3205200_12,Vila Velha,Espírito Santo,ES,2019-11-22,2019-12-13,Oleo Nao Observado,14:40:53,1,-20.33673333333333,-40.28087222222222
2913606,Aritagua,2913606_52,Ilhéus,Bahia,BA,2019-11-15,2019-12-01,Oleo Nao Observado,NA,1,-14.693972222222223,-39.065466666666666
2906303,Peso,2906303_40,Canavieiras,Bahia,BA,2019-12-04,2019-12-04,Oleada - Vestigios / Esparsos,NA,1,-15.711883333333333,-38.91993333333333
2703759,Dunas de Marapé,2703759_14,Jequiá da Praia,Alagoas,AL,2019-11-24,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-10.04448611111111,-36.02635
2511905,Praia de Acau,2511905_22,Pitimbu,Paraíba,PB,2019-08-30,2019-11-26,Oleada - Vestigios / Esparsos,NA,1,-7.549752777777778,-34.827822222222224
2903409,Restinga,2903409_7,Belmonte,Bahia,BA,2019-11-30,2019-11-30,Oleada - Vestigios / Esparsos,NA,1,-15.760677777777778,-38.89877222222222
3203205,Praia de Povoação,3203205_36,Linhares,Espírito Santo,ES,2019-11-18,2019-11-18,Oleada - Vestigios / Esparsos,NA,1,-19.601911944444446,-39.791624999999996
2903409,Ilha do Delta do Jequitinhonha,2903409_9,Belmonte,Bahia,BA,2019-11-15,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-15.774652777777778,-38.889969444444446
