name,município,data_avist,estado,latitude,longitude,data_revis,status,geocodigo
Praia do Pontal do Boqueirão,Japaratinga,2019-10-28,Alagoas,-9.14118888888889,-35.2869666666667,2019-11-06,Oleada - Manchas,2703601
Praia de Bitingui,Japaratinga,2019-11-06,Alagoas,-9.12293055555556,-35.271725000000004,2019-11-06,Oleada - Manchas,2703601
Rio Persinunga,Maragogi,2019-10-29,Alagoas,-8.91138888888889,-35.1522611111111,2019-11-08,Oleada - Vestígios/Esparsos,2704500
Barra dos Coqueiros,Maragogi,2019-10-20,Alagoas,-8.96692777777778,-35.1760305555556,NA,Oleada - Vestígios/Esparsos,2704500
Praia de Peroba,Maragogi,2019-11-06,Alagoas,-8.92590833333333,-35.1594666666667,2019-11-06,Oleada - Vestígios/Esparsos,2704500
Barra Grande (norte),Maragogi,2019-10-16,Alagoas,-8.91839444444444,-35.1535777777778,2019-11-06,Óleo - Não Observado,2704500
Praia de Peroba,Maragogi,2019-11-03,Alagoas,-8.94950277777778,-35.1709388888889,2019-11-03,Oleada - Vestígios/Esparsos,2704500
Manguezal do rio Maragogi,Maragogi,2019-11-01,Alagoas,-9.02651944444444,-35.2253722222222,NA,Óleo - Não Observado,2704500
Praia de Maragogi,Maragogi,2019-11-01,Alagoas,-9.00558611111111,-35.2137083333333,2019-11-06,Oleada - Vestígios/Esparsos,2704500
Praia de Burgalhau,Maragogi,2019-10-21,Alagoas,-8.99898333333333,-35.2072388888889,2019-11-06,Óleo - Não Observado,2704500
Praia da Peroba,Maragogi,2019-10-18,Alagoas,-8.93205277777778,-35.1649611111111,2019-11-03,Óleo - Não Observado,2704500
Praia do Camacho,Maragogi,2019-10-23,Alagoas,-9.03202777777778,-35.2278166666667,2019-11-04,Óleo - Não Observado,2704500
Rio Salgado,Maragogi,2019-10-21,Alagoas,-9.06254444444444,-35.2396222222222,2019-10-29,Oleada - Vestígios/Esparsos,2704500
Centro,Maragogi,2019-10-21,Alagoas,-9.01254166666667,-35.2196638888889,2019-11-01,Oleada - Vestígios/Esparsos,2704500
Praia do Antunes,Maragogi,2019-10-16,Alagoas,-8.97514444444444,-35.1803722222222,2019-11-03,Óleo - Não Observado,2704500
Ponta do Mangue,Maragogi,2019-10-16,Alagoas,-8.95812222222222,-35.1732472222222,2019-10-21,Oleada - Vestígios/Esparsos,2704500
Paripueira,Paripueira,2019-09-22,Alagoas,-9.46119166666667,-35.5392333333333,2019-11-01,Óleo - Não Observado,2706448
Praia do Marceneiro,Passo de Camaragibe,2019-10-26,Alagoas,-9.29689722222222,-35.3945333333333,2019-10-31,Oleada - Vestígios/Esparsos,2706505
Praia do Carro Quebrado,Passo de Camaragibe,2019-09-18,Alagoas,-9.34127222222222,-35.4480805555556,2019-11-01,Óleo - Não Observado,2706505
Praia do Morro de Camaragibe,Passo de Camaragibe,2019-10-21,Alagoas,-9.32885555555556,-35.4385083333333,2019-11-01,Oleada - Vestígios/Esparsos,2706505
Barra de Santo Antônio,Passo de Camaragibe,2019-09-22,Alagoas,-9.34828055555556,-35.4639055555556,2019-10-13,Oleada - Vestígios/Esparsos,2706505
Praia de Porto da Rua,São Miguel dos Milagres,2019-10-29,Alagoas,-9.24404444444444,-35.3472833333333,2019-11-03,Óleo - Não Observado,2708709
Praia de Tambaba,Conde,2019-08-30,Paraíba,-7.369325,-34.7985444444444,2019-11-08,Óleo - Não Observado,2504603
Praia de Gramame,Conde,2019-08-30,Paraíba,-7.25310555555556,-34.8060916666667,2019-11-08,Óleo - Não Observado,2504603
