name,município,data_avist,estado,data_revis,status,latitude,longitude
Ponta de Maracajaú,Maxaranguape,2019-09-17,RN,2019-11-03,Óleo - Não Observado,-5.42761388888889,-35.2963333333333
Pirangi do Sul,Nísia Floresta,2019-09-11,RN,2019-11-03,Oleada - Vestígios/Esparsos,-5.98507777777778,-35.1173111111111
Pipa,Tibau do Sul,2019-09-10,RN,2019-11-04,Óleo - Não Observado,-6.22779444444444,-35.0511444444444
Praia de Zumbi,Rio do Fogo,2019-09-11,RN,2019-11-04,Oleada - Vestígios/Esparsos,-5.32008333333333,-35.36305
Foz do Rio Pirangi/Pium,Nísia Floresta,2019-09-11,RN,2019-11-03,Oleada - Vestígios/Esparsos,-5.98033333333333,-35.1218361111111
Barra do Cunhaú,Canguaretama,2019-09-10,RN,2019-11-04,Óleo - Não Observado,-6.29619722222222,-35.0334277777778
Sibaúma/Das Minas,Tibau do Sul,2019-09-11,RN,2019-11-04,Oleada - Vestígios/Esparsos,-6.26163611111111,-35.0379583333333
Maracajaú,Maxaranguape,2019-09-10,RN,2019-10-29,Óleo - Não Observado,-5.40803611111111,-35.3112055555556
Ponta da Ilha Verde,Nísia Floresta,2019-09-12,RN,2019-10-26,Oleada - Vestígios/Esparsos,-6.00858333333333,-35.1057388888889
Praia do Forte,Natal,2019-09-17,RN,2019-11-03,Óleo - Não Observado,-5.76593333333333,-35.1947222222222
Praia de Alagamar,Natal,2019-09-24,RN,2019-09-24,Oleada - Vestígios/Esparsos,-5.89133611111111,-35.1541722222222
Praia do Gado Bravo,Tibau,2019-10-25,RN,2019-10-29,Oleada - Vestígios/Esparsos,-4.88007222222222,-37.2234638888889
Praia de Rendinha Nova,Extremoz,2019-10-23,RN,2019-10-28,Oleada - Vestígios/Esparsos,-5.71745,-35.2004833333333
Praia de Cacimbinhas,Tibau do Sul,2019-10-24,RN,2019-10-28,Oleada - Vestígios/Esparsos,-6.20447222222222,-35.0809
Praia de Graçandu,Extremoz,2019-10-28,RN,NA,Oleada - Vestígios/Esparsos,-5.65090833333333,-35.2177972222222
Praia de Barra de Maxaranguape,Maxaranguape,2019-10-21,RN,2019-11-03,Óleo - Não Observado,-5.51613611111111,-35.2575611111111
Praia Carnaubinhas,Touros,2019-10-21,RN,2019-10-27,Óleo - Não Observado,-5.20156388888889,-35.4518361111111
Praia do Pontal,Baía Formosa,2019-10-27,RN,NA,Oleada - Vestígios/Esparsos,-6.32182222222222,-35.0345166666667
Praia do Madeiro,Tibau do Sul,2019-10-28,RN,NA,Oleada - Vestígios/Esparsos,-6.22298611111111,-35.0670611111111
Praia do Amor,Tibau do Sul,2019-09-10,RN,2019-10-27,Oleada - Vestígios/Esparsos,-6.22902777777778,-35.0428527777778
Pirambu,Tibau do Sul,2019-09-10,RN,2019-10-02,Oleada - Vestígios/Esparsos,-6.18756388888889,-35.0850444444444
Via Costeira,Natal,2019-09-07,RN,2019-11-04,Oleada - Vestígios/Esparsos,-5.81073333333333,-35.1825722222222
Lagoa Guaraíras,Senador Georgino Avelino,2019-10-30,RN,NA,Óleo - Não Observado,-6.18109722222222,-35.0924694444444
Rio Punaú,Rio do Fogo,2019-09-11,RN,2019-10-09,Oleada - Vestígios/Esparsos,-5.34635833333333,-35.3593722222222
